"from_index","to_index","from_id","to_id","edge_dissimilarity","boundary_prob","w_posterior","boundary_median"
86,109,"41250","41630",1.94035488754273,0.4944,1,0
89,109,"41281","41630",0.0937369510890219,0,1,0
103,109,"41480","41630",0,0,1,0
80,110,"41150","41650",0.965490596216909,0,1,0
86,110,"41250","41650",0.86237995001899,0,1,0
94,110,"41360","41650",1.23732775437507,0.00239999999999996,1,0
109,110,"41630","41650",1.07797493752374,0,1,0
104,111,"41500","41670",1.13421710817715,0,1,0
108,111,"41610","41670",0.946743205999107,0,1,0
86,112,"41250","41800",1.07797493752374,0,1,0
103,112,"41480","41800",0.86237995001899,0,1,0
109,112,"41630","41800",0.86237995001899,0,1,0
110,112,"41650","41800",0.215594987504746,0,1,0
94,113,"41360","41820",0.121858036415726,0,1,0
110,113,"41650","41820",1.11546971795934,0,1,0
94,114,"41360","41830",0.431189975009495,0,1,0
108,114,"41610","41830",1.15296449839495,0,1,0
111,114,"41670","41830",0.206221292395846,0,1,0
113,114,"41820","41830",0.553048011425221,0,1,0
113,115,"41820","42110",0.168726511960237,0,1,0
111,116,"41670","42130",1.16233819350385,0,1,0
114,116,"41830","42130",1.3685594858997,0.0313,1,0
117,118,"42150","42170",0.0656158657623147,0,1,0
118,121,"42170","42230",0.77801669403887,0,1,0
119,121,"42190","42230",0.778016694038872,0,1,0
113,122,"41820","42720",0.346826719029377,0,1,0
114,122,"41830","42720",0.899874730454598,0,1,0
115,122,"42110","42720",0.515553230989614,0,1,0
117,122,"42150","42720",0.543674316316321,0,1,0
114,123,"41830","42730",0.9092484255635,0,1,0
116,123,"42130","42730",0.459311060336201,0,1,0
122,123,"42720","42730",0.00937369510890185,0,1,0
116,124,"42130","42750",0.27183715815816,0,1,0
119,124,"42190","42750",0.749895608712165,0,1,0
123,124,"42730","42750",0.18747390217804,0,1,0
117,125,"42150","42760",0.506179535880712,0,1,0
122,125,"42720","42760",0.0374947804356091,0,1,0
123,125,"42730","42760",0.0468684755445109,0,1,0
124,125,"42750","42760",0.234342377722551,0,1,0
117,126,"42150","42770",1.48104382720653,0.1036,1,0
118,126,"42170","42770",1.54665969296884,0.1579,1,0
119,126,"42190","42770",0.00937369510890185,0,1,0
121,126,"42230","42770",0.76864299892997,0,1,0
124,126,"42750","42770",0.740521913603263,0,1,0
125,126,"42760","42770",0.974864291325814,0,1,0
110,127,"41650","42780",1.22795405926617,0.00160000000000005,1,0
112,127,"41800","42780",1.01235907176142,0,1,0
110,128,"41650","42790",1.71538620492907,0.4082,1,0
113,128,"41820","42790",0.59991648696973,0,1,0
115,128,"42110","42790",0.431189975009494,0,1,0
127,128,"42780","42790",0.487432145662906,0,1,0
115,129,"42110","42800",0.524926926098514,0,1,0
128,129,"42790","42800",0.0937369510890202,0,1,0
115,130,"42110","42810",1.03110646197923,0,1,0
120,130,"42210","42810",0.290584548375966,0,1,0
122,130,"42720","42810",0.515553230989614,0,1,0
129,130,"42800","42810",1.55603338807774,0.1788,1,0
120,131,"42210","42820",0.178100207069137,0,1,0
130,131,"42810","42820",0.468684755445103,0,1,0
117,132,"42150","42830",0.421816279900593,0,1,0
120,132,"42210","42830",0.346826719029375,0,1,0
122,132,"42720","42830",0.121858036415727,0,1,0
130,132,"42810","42830",0.637411267405341,0,1,0
62,133,"30110","43111",0.590542791860828,0,1,0
66,133,"30230","43111",0.759269303821063,0,1,0
65,134,"30200","43112",1.61227555873115,0.2907,1,0
66,134,"30230","43112",1.42480165655311,0.0774,1,0
72,134,"36110","43112",1.24670144948397,0.00290000000000001,1,0
133,134,"43111","43112",0.665532352732047,0,1,0
72,135,"36110","43113",2.12782878972077,0.5112,0,1
134,135,"43112","43113",0.881127340236793,0,1,0
133,136,"43111","43114",0.478058450554003,0,1,0
134,136,"43112","43114",1.14359080328605,0,1,0
135,136,"43113","43114",0.262463463049257,0,1,0
111,137,"41670","43130",1.30294362013738,0.00490000000000002,1,0
116,137,"42130","43130",0.140605426633529,0,1,0
116,138,"42130","43150",0.121858036415726,0,1,0
