dataset,N,edge_count,true_eta,true_rho,beta_0_error,beta_0_abs_error,beta_0_zscore,sigma2_w_error,sigma2_w_abs_error,sigma2_w_zscore,eta_error,eta_abs_error,eta_zscore,rho_error,rho_abs_error,rho_zscore
67,208,606,0.1176,0.4836,0.0065,0.0065,-0.1177,0.1698,0.1698,-0.8609,-0.0029,0.0029,0.0386,0.0554,0.0554,-0.5430
68,221,650,0.7415,0.9678,-0.0300,0.0300,1.7179,-0.3465,0.3465,3.7107,-0.1003,0.1003,0.6693,-0.4945,0.4945,1.9997
69,154,443,0.0959,0.2455,0.0020,0.0020,-0.0997,0.0054,0.0054,-0.1959,0.1325,0.1325,-0.8070,-0.0827,0.0827,0.7685
70,274,805,0.6607,0.0890,-0.0011,0.0011,0.0388,-0.0029,0.0029,0.3072,-0.2688,0.2688,1.1757,-0.0457,0.0457,0.8693
71,211,617,0.3569,0.7607,0.0013,0.0013,-0.0918,0.0742,0.0742,-0.4581,0.0296,0.0296,-0.1365,-0.0670,0.0670,0.2190
72,285,839,0.4363,0.5266,0.0148,0.0148,-0.7881,0.0041,0.0041,-0.0428,0.0678,0.0678,-0.6093,-0.0200,0.0200,0.1532
73,108,309,0.6708,0.0498,-0.0173,0.0173,0.7314,0.0213,0.0213,-0.9995,-0.2868,0.2868,1.2623,0.0381,0.0381,-0.5477
74,117,334,0.3374,0.9514,-0.0086,0.0086,0.3955,-0.1633,0.1633,0.7685,-0.0352,0.0352,0.2380,-0.1566,0.1566,1.0315
75,280,824,0.0161,0.0869,0.0080,0.0080,-0.1948,-0.0120,0.0120,0.2213,0.3315,0.3315,-1.5886,-0.0264,0.0264,0.6447
76,254,742,0.0106,0.0767,-0.0184,0.0184,0.7123,-0.0484,0.0484,1.4748,0.2883,0.2883,-1.4685,-0.0006,0.0006,0.0130
77,215,624,0.4873,0.3495,0.0167,0.0167,-0.7375,0.0179,0.0179,-0.1857,-0.0075,0.0075,0.0458,0.0510,0.0510,-0.3621
78,60,167,0.0353,0.0363,0.0140,0.0140,-0.1468,0.0794,0.0794,-0.8579,0.2916,0.2916,-1.4227,0.0031,0.0031,-0.0642
79,150,438,0.2857,0.2673,-0.0414,0.0414,1.3546,0.1394,0.1394,-1.0619,-0.0603,0.0603,0.4364,0.0602,0.0602,-0.7879
80,59,163,0.3158,0.1914,0.0193,0.0193,-0.7064,0.1175,0.1175,-0.6252,-0.0081,0.0081,0.0438,0.5086,0.5086,-1.9336
81,299,876,0.6139,0.4092,0.0161,0.0161,-0.3734,-0.0342,0.0342,0.4494,-0.0132,0.0132,0.1253,-0.1063,0.1063,1.1915
82,137,395,0.1484,0.5933,-0.0016,0.0016,0.0711,0.0984,0.0984,-0.5164,0.2554,0.2554,-1.1786,0.2119,0.2119,-0.9205
83,214,626,0.2300,0.6132,-0.0152,0.0152,0.3540,0.0211,0.0211,-0.1160,-0.0235,0.0235,0.1898,-0.0499,0.0499,0.3510
84,115,326,0.0467,0.4849,-0.0148,0.0148,0.2257,-0.1262,0.1262,0.6132,0.1423,0.1423,-1.0609,-0.1226,0.1226,1.3295
85,66,184,0.5291,0.1741,-0.0167,0.0167,0.4187,-0.0781,0.0781,0.7387,-0.0918,0.0918,0.4274,-0.0757,0.0757,0.8558
86,151,434,0.4412,0.2839,-0.0005,0.0005,0.0188,0.0267,0.0267,-0.3621,0.0320,0.0320,-0.1680,0.0937,0.0937,-0.4268
87,220,645,0.1423,0.1920,0.0158,0.0158,-0.8046,0.0392,0.0392,-0.9939,0.1412,0.1412,-0.7634,-0.0168,0.0168,0.2468
88,92,261,0.5383,0.2052,0.0240,0.0240,-0.8720,-0.1131,0.1131,1.4132,-0.1314,0.1314,0.5225,-0.0824,0.0824,1.0812
89,49,134,0.2354,0.8756,-0.0196,0.0196,0.6246,0.0545,0.0545,-0.2239,-0.0139,0.0139,0.0866,-0.0836,0.0836,0.5579
90,146,421,0.5964,0.9479,0.0214,0.0214,-0.5575,-0.3358,0.3358,1.4102,-0.1685,0.1685,1.4650,-0.0987,0.0987,1.0428
91,228,667,0.0302,0.6394,0.0104,0.0104,-0.8467,0.1252,0.1252,-0.6656,0.1641,0.1641,-1.3288,0.1653,0.1653,-1.0652
92,121,345,0.1574,0.5954,-0.0074,0.0074,0.4547,0.0989,0.0989,-0.5154,0.3178,0.3178,-1.2604,0.1956,0.1956,-0.7378
93,295,869,0.2797,0.6060,-0.0045,0.0045,0.3234,0.1128,0.1128,-0.5830,-0.0022,0.0022,0.0131,0.1983,0.1983,-0.9758
94,195,567,0.0089,0.2948,0.0221,0.0221,-0.2748,0.0669,0.0669,-0.4421,0.3546,0.3546,-1.9349,0.3619,0.3619,-1.5438
95,202,592,0.6988,0.9733,0.0022,0.0022,-0.1265,-0.0735,0.0735,0.3457,-0.1330,0.1330,1.0532,-0.0766,0.0766,0.5565
96,80,226,0.2366,0.6981,-0.0174,0.0174,0.5171,0.0591,0.0591,-0.3059,0.0742,0.0742,-0.3239,-0.0394,0.0394,0.1700
97,74,207,0.0553,0.6522,0.0235,0.0235,-0.3172,0.1111,0.1111,-0.5089,0.3874,0.3874,-3.1234,0.0884,0.0884,-0.5710
98,182,529,0.5484,0.8928,0.0140,0.0140,-0.2392,-0.2052,0.2052,1.6300,0.0465,0.0465,-0.9548,-0.2605,0.2605,1.4428
99,76,212,0.5843,0.3884,0.0198,0.0198,-0.6784,0.0169,0.0169,-0.2407,-0.2044,0.2044,0.9339,-0.1599,0.1599,0.7603
100,267,782,0.0667,0.5795,-0.0116,0.0116,0.5362,0.0994,0.0994,-0.5713,0.0925,0.0925,-0.8631,0.0375,0.0375,-0.2540
101,41,112,0.5284,0.1927,0.0001,0.0001,-0.0014,-0.3493,0.3493,1.8741,-0.2337,0.2337,1.2977,-0.0154,0.0154,0.1538
102,138,399,0.7183,0.7410,-0.0013,0.0013,0.0179,-0.2552,0.2552,1.0708,-0.0665,0.0665,0.7755,-0.0075,0.0075,0.1070
103,277,813,0.6464,0.3089,-0.0058,0.0058,0.1507,0.0974,0.0974,-0.4760,-0.3398,0.3398,1.7507,0.5443,0.5443,-2.3699
104,113,324,0.6207,0.4204,-0.0346,0.0346,0.8298,0.1480,0.1480,-0.7717,-0.2774,0.2774,1.7751,0.2191,0.2191,-1.3776
105,155,451,0.4912,0.3450,-0.0208,0.0208,0.6603,0.0443,0.0443,-0.6782,-0.1729,0.1729,1.0148,-0.1381,0.1381,1.6144
106,159,460,0.4514,0.2052,0.0244,0.0244,-0.4310,-0.0262,0.0262,0.8200,-0.0444,0.0444,0.1945,-0.0540,0.0540,0.6656
107,96,273,0.3762,0.6087,-0.0060,0.0060,0.1499,0.1023,0.1023,-0.5448,0.0271,0.0271,-0.1621,0.0287,0.0287,-0.1581
108,236,689,0.6231,0.2504,-0.0039,0.0039,0.2130,0.1176,0.1176,-0.9585,-0.0386,0.0386,0.6096,0.1829,0.1829,-1.7648
109,292,853,0.4336,0.4095,0.0083,0.0083,-0.3048,0.0039,0.0039,-0.0789,-0.0235,0.0235,0.1405,-0.0912,0.0912,0.7887
110,248,726,0.1823,0.5892,0.0132,0.0132,-0.4477,0.0013,0.0013,-0.0070,0.0289,0.0289,-0.2963,-0.0143,0.0143,0.1421
111,65,182,0.5444,0.7578,-0.0052,0.0052,0.1346,-0.3618,0.3618,1.5132,0.0617,0.0617,-0.7335,-0.0952,0.0952,0.7035
112,68,189,0.6415,0.1861,0.0078,0.0078,-0.1119,-0.3013,0.3013,1.8871,-0.2351,0.2351,0.8450,-0.0758,0.0758,0.8541
113,66,185,0.3218,0.2231,0.0427,0.0427,-1.0125,-0.1603,0.1603,1.2278,0.0689,0.0689,-0.3917,-0.1148,0.1148,1.3052
114,94,267,0.4818,0.1468,-0.0022,0.0022,0.0931,-0.0139,0.0139,0.3225,-0.1045,0.1045,0.5645,-0.0118,0.0118,0.0758
115,199,578,0.1521,0.6919,0.0005,0.0005,-0.0265,0.1028,0.1028,-0.4893,-0.0301,0.0301,0.3827,0.0334,0.0334,-0.2981
