dataset,N,edge_count,true_eta,true_rho,graph_size_bin,parameter,posterior_z
155,198,579,0.4597,0.7857,"(155.0, 217.5]",beta_0,-0.1411
156,281,823,0.0282,0.6897,"(217.5, 299.0]",beta_0,-0.2913
157,226,656,0.2962,0.0410,"(217.5, 299.0]",beta_0,0.1505
158,70,197,0.4947,0.1345,"(39.9999, 95.75]",beta_0,-0.5547
159,189,551,0.1418,0.5837,"(155.0, 217.5]",beta_0,-0.7586
160,99,284,0.6935,0.9453,"(95.75, 155.0]",beta_0,-0.5040
161,295,866,0.4063,0.4496,"(217.5, 299.0]",beta_0,-0.2539
162,54,148,0.5747,0.5979,"(39.9999, 95.75]",beta_0,-0.3802
163,171,497,0.6763,0.2908,"(155.0, 217.5]",beta_0,0.7959
164,80,226,0.5650,0.4324,"(39.9999, 95.75]",beta_0,0.5965
165,192,557,0.3794,0.2550,"(155.0, 217.5]",beta_0,1.4044
166,76,216,0.6373,0.4894,"(39.9999, 95.75]",beta_0,0.6622
167,196,573,0.5679,0.1429,"(155.0, 217.5]",beta_0,-0.5713
168,73,207,0.5444,0.3626,"(39.9999, 95.75]",beta_0,-0.0394
169,198,581,0.7080,0.0903,"(155.0, 217.5]",beta_0,0.7309
170,47,130,0.4531,0.9032,"(39.9999, 95.75]",beta_0,-0.0294
171,60,166,0.4185,0.9450,"(39.9999, 95.75]",beta_0,0.1535
172,59,163,0.4665,0.7594,"(39.9999, 95.75]",beta_0,-0.3903
173,288,845,0.4916,0.3495,"(217.5, 299.0]",beta_0,-0.0552
174,219,637,0.1557,0.6055,"(217.5, 299.0]",beta_0,-0.2110
175,243,712,0.3948,0.3318,"(217.5, 299.0]",beta_0,-0.0739
176,63,176,0.4383,0.2000,"(39.9999, 95.75]",beta_0,-0.2031
177,70,196,0.6616,0.8106,"(39.9999, 95.75]",beta_0,-0.1829
178,247,723,0.1626,0.3328,"(217.5, 299.0]",beta_0,-0.4236
179,100,285,0.4905,0.9220,"(95.75, 155.0]",beta_0,-0.2839
180,76,212,0.6903,0.5431,"(39.9999, 95.75]",beta_0,-0.8779
181,160,463,0.2422,0.1366,"(155.0, 217.5]",beta_0,-0.5291
182,268,788,0.3367,0.1594,"(217.5, 299.0]",beta_0,0.7927
183,280,825,0.5993,0.9524,"(217.5, 299.0]",beta_0,-0.1049
184,86,240,0.3350,0.9539,"(39.9999, 95.75]",beta_0,0.3357
185,272,800,0.4556,0.9218,"(217.5, 299.0]",beta_0,1.6389
186,155,451,0.7090,0.2013,"(95.75, 155.0]",beta_0,-0.6291
187,263,772,0.0049,0.7395,"(217.5, 299.0]",beta_0,-0.7624
188,84,237,0.6821,0.2640,"(39.9999, 95.75]",beta_0,-0.2062
189,93,265,0.6459,0.1154,"(39.9999, 95.75]",beta_0,0.5326
190,71,198,0.3634,0.8928,"(39.9999, 95.75]",beta_0,0.1343
191,60,166,0.3008,0.6317,"(39.9999, 95.75]",beta_0,-0.5415
192,283,836,0.4396,0.3827,"(217.5, 299.0]",beta_0,1.4310
193,167,482,0.5589,0.9759,"(155.0, 217.5]",beta_0,-0.0626
194,168,486,0.2867,0.5778,"(155.0, 217.5]",beta_0,0.1509
