sensitivity,specificity,selected_boundaries,true_boundaries
0.10236220472440945,0.9982905982905983,14,127
1.0,0.9669421487603306,59,55
0.25274725274725274,1.0,23,91
1.0,1.0,1,1
1.0,0.8911917098445595,113,92
0.75,1.0,69,92
0.6129032258064516,1.0,19,31
1.0,0.890881913303438,192,119
0.8875,0.9821782178217822,293,320
0.4634146341463415,1.0,19,41
0.9780701754385965,0.9877622377622378,230,228
0.780952380952381,0.991701244813278,166,210
,1.0,0,0
0.0,1.0,0,99
0.7961165048543689,0.9876543209876543,84,103
1.0,0.891566265060241,50,32
1.0,0.8618421052631579,35,14
0.6623376623376623,0.996694214876033,155,231
0.10869565217391304,1.0,20,184
1.0,0.9114219114219114,95,57
0.9280575539568345,0.976,135,139
1.0,0.9771428571428571,21,17
1.0,0.9502762430939227,89,80
1.0,1.0,14,14
1.0,0.7898832684824902,135,81
