"draw","beta_0","alpha","tau2"
427,0.101951075083988,0.430362133573049,0.029559349709168
428,0.0908541696872327,0.515735758000224,0.0263217092965508
429,0.108435479240157,0.443775711206377,0.0307453061634053
430,0.115236775051196,0.455038028657104,0.0314389118672237
431,0.101560555141275,0.450341803359259,0.0261457038862014
432,0.0799115466510035,0.45009000104764,0.0414633466719598
433,0.0975938131571995,0.442856038966079,0.0393849300061356
434,0.076689072958288,0.429253840991043,0.0331594973674965
435,0.0897963417253455,0.427723639799553,0.0499386365568955
436,0.0896522738043473,0.441450105687629,0.0370628814255551
437,0.0892545659059414,0.464443019734102,0.0411134431502118
438,0.132193756173302,0.448285155222462,0.0272881557111028
439,0.0951506451501521,0.43914678769905,0.0389890728751973
440,0.10245033644311,0.458252329248307,0.0261533742524576
441,0.103700597144567,0.43854031759502,0.0326837586312163
442,0.101681819265803,0.450689665307335,0.0454532837549442
443,0.100062431441397,0.444924523104007,0.0450013639540743
444,0.0919659755757892,0.378060751104106,0.059778022345535
445,0.124059893303953,0.344514476509927,0.0580313792000675
446,0.113511211609487,0.451107769271806,0.0228859294431119
447,0.0882238894870111,0.449132564878449,0.0327818048885707
448,0.0921062764114506,0.425762399659082,0.0390744718956467
449,0.0882551175432489,0.429800890304319,0.0210930770523565
450,0.0948470831571547,0.459901379351546,0.0395873423280661
451,0.0856312893630416,0.435128516228654,0.0288162041323218
452,0.103149088045446,0.455354437247863,0.0345712034842782
453,0.110692714060253,0.437505430750867,0.0344548959879351
454,0.111613648619039,0.442853178682279,0.034881261286527
455,0.0868410099359227,0.427722241709776,0.0367523231451221
456,0.113941455329214,0.426265238103107,0.050089192307382
457,0.0990697103925738,0.448955850353717,0.0280441115508224
458,0.0869905393977281,0.447012097572143,0.0463709134955108
459,0.088809927028501,0.455635355524344,0.0359638053261275
460,0.0883059964803967,0.426960375829999,0.0329600452220805
461,0.0957804788109673,0.440481596133607,0.0439240794388791
462,0.0809371018307214,0.431023185920299,0.031721762416285
463,0.0785567271470064,0.443144901939457,0.0386338498653571
464,0.0938310310573648,0.430577254424908,0.022427945213233
465,0.0901673306262496,0.511227224196017,0.0308637760542094
466,0.0979620078159888,0.435520937175906,0.0295884080321781
467,0.106642463751636,0.440734716453414,0.0299359626141694
468,0.0895080856290717,0.447059009931412,0.0319414015489735
469,0.0984815167066454,0.452140724603507,0.0325474454589929
470,0.113319617668702,0.428027911143535,0.0377374217376221
471,0.0990351059179578,0.439029069449912,0.0312069997883288
472,0.0753534375387486,0.425840796652276,0.0487187891097878
473,0.110779344135434,0.456169099379715,0.027521235705108
474,0.103982201808852,0.438861164699565,0.0335036944820688
475,0.110759181689528,0.431624451280127,0.0411387997683672
476,0.092219310865706,0.434535761136899,0.039115022672667
477,0.0684978733728209,0.441015325271995,0.0476997847342577
478,0.0684978733728209,0.430980042754476,0.0449298163099262
479,0.0684978733728209,0.446093478382854,0.0416134805506767
480,0.0926369824701725,0.442869793986795,0.0393834631293455
481,0.111228621152753,0.432207756186346,0.0343097788029946
482,0.0978822286058793,0.422939884059018,0.0531506089433125
483,0.0952636324488754,0.431685168606207,0.0387151341920919
484,0.0933802874355101,0.440054118578306,0.035900866984065
485,0.0885080126847495,0.433409139121496,0.0276739049731718
486,0.0958237796651232,0.445868431789799,0.0303053657325569
487,0.0935931375077148,0.438454690821676,0.035236750554957
488,0.0993134572588449,0.307178789708127,0.0494681267588854
489,0.0988702444069832,0.249089988845861,0.0581318309314795
490,0.100661007128637,0.263153290471515,0.0501287152269973
491,0.0939511013153534,0.32003663366043,0.0697367558545908
492,0.0964189888103036,0.446939764176415,0.0315509674833833
493,0.0932977353473634,0.425910177403974,0.0340591396577656
494,0.109465811360468,0.435781497196924,0.0365454688002733
495,0.0929732096499231,0.443195158953746,0.0286576003650206
496,0.0959079691885256,0.441216286276564,0.0361784881523714
497,0.0837857848092906,0.42526838847186,0.0292212345179633
498,0.0899399712622907,0.451466045270899,0.0252489723376259
499,0.0884722112582402,0.462571776111204,0.0248093027452922
500,0.0913249767116894,0.444488541382217,0.0415442604882138
501,0.0875616258648071,0.42135606816553,0.0596661212586165
502,0.0935041780898465,0.436007788289611,0.0286320433142005
503,0.103741884790899,0.432851972067746,0.0392549711716312
504,0.102275041712303,0.427101181977206,0.032769316405865
