experiment,label,batch_index,N,elapsed_sec,datasets_in_batch,num_samples_requested,seconds_per_dataset,seconds_per_1000_draws_per_dataset
01_ablate_core_observation_features,No core observation features,2,42,1.6327799999853596,50,1000,0.03265559999970719,0.03265559999970719
01_ablate_core_observation_features,No core observation features,3,43,1.6289707999676466,50,1000,0.032579415999352934,0.032579415999352934
01_ablate_core_observation_features,No core observation features,4,44,1.6394149999832734,50,1000,0.03278829999966547,0.03278829999966547
01_ablate_core_observation_features,No core observation features,5,45,1.6328556999797001,50,1000,0.032657113999594006,0.032657113999594006
01_ablate_core_observation_features,No core observation features,6,46,1.65533790003974,50,1000,0.033106758000794795,0.033106758000794795
01_ablate_core_observation_features,No core observation features,7,47,1.6558462999528274,50,1000,0.03311692599905655,0.03311692599905655
01_ablate_core_observation_features,No core observation features,8,48,1.6447064999956638,50,1000,0.03289412999991328,0.03289412999991328
01_ablate_core_observation_features,No core observation features,9,49,1.667936300043948,50,1000,0.03335872600087896,0.03335872600087896
01_ablate_core_observation_features,No core observation features,10,50,1.6341347999405116,50,1000,0.032682695998810234,0.032682695998810234
01_ablate_core_observation_features,No core observation features,11,51,1.7927553999470547,50,1000,0.035855107998941094,0.035855107998941094
01_ablate_core_observation_features,No core observation features,12,52,1.7415157000068575,50,1000,0.03483031400013715,0.03483031400013715
01_ablate_core_observation_features,No core observation features,13,53,1.6830687000183389,50,1000,0.03366137400036678,0.03366137400036678
01_ablate_core_observation_features,No core observation features,14,54,1.6418710999423638,50,1000,0.032837421998847274,0.032837421998847274
01_ablate_core_observation_features,No core observation features,15,55,1.645958499982953,50,1000,0.03291916999965906,0.03291916999965906
01_ablate_core_observation_features,No core observation features,16,56,1.6387011000188068,50,1000,0.032774022000376136,0.032774022000376136
01_ablate_core_observation_features,No core observation features,17,57,1.6371136999223381,50,1000,0.032742273998446765,0.032742273998446765
01_ablate_core_observation_features,No core observation features,18,58,1.6529048000229523,50,1000,0.033058096000459045,0.033058096000459045
