loss,val_loss,epoch,experiment,label
0.2989321649074554,0.6872406601905823,36,00_baseline,Baseline
0.2701712846755981,0.6845277547836304,37,00_baseline,Baseline
0.2616212368011474,0.6835923790931702,38,00_baseline,Baseline
0.2609406113624573,0.6662039756774902,39,00_baseline,Baseline
0.2577239274978637,0.6698935031890869,40,00_baseline,Baseline
3.884500026702881,3.1550068855285645,1,01_ablate_core_observation_features,No core observation features
2.987844467163086,2.863378524780273,2,01_ablate_core_observation_features,No core observation features
2.710688591003418,2.508419752120972,3,01_ablate_core_observation_features,No core observation features
2.323915481567383,2.280879020690918,4,01_ablate_core_observation_features,No core observation features
2.187046766281128,2.103485584259033,5,01_ablate_core_observation_features,No core observation features
2.012242794036865,2.238453865051269,6,01_ablate_core_observation_features,No core observation features
2.0862221717834477,2.1934800148010254,7,01_ablate_core_observation_features,No core observation features
1.8511728048324585,1.7839913368225098,8,01_ablate_core_observation_features,No core observation features
1.7951372861862185,1.9010274410247805,9,01_ablate_core_observation_features,No core observation features
1.71068012714386,1.7727689743041992,10,01_ablate_core_observation_features,No core observation features
1.673794150352478,1.7357885837554932,11,01_ablate_core_observation_features,No core observation features
1.5522388219833374,1.697455883026123,12,01_ablate_core_observation_features,No core observation features
1.4590883255004885,1.7650048732757568,13,01_ablate_core_observation_features,No core observation features
1.410944938659668,1.667814016342163,14,01_ablate_core_observation_features,No core observation features
1.4104653596878052,1.3137636184692385,15,01_ablate_core_observation_features,No core observation features
1.3406699895858765,1.5797605514526367,16,01_ablate_core_observation_features,No core observation features
1.2983781099319458,1.4145535230636597,17,01_ablate_core_observation_features,No core observation features
1.195221185684204,1.4661686420440674,18,01_ablate_core_observation_features,No core observation features
1.137156367301941,1.3665202856063845,19,01_ablate_core_observation_features,No core observation features
1.153428077697754,1.3152718544006348,20,01_ablate_core_observation_features,No core observation features
1.1228653192520142,1.3272030353546145,21,01_ablate_core_observation_features,No core observation features
1.1003599166870115,1.222258448600769,22,01_ablate_core_observation_features,No core observation features
0.9908412098884584,1.2106149196624756,23,01_ablate_core_observation_features,No core observation features
1.001698017120361,1.1911537647247314,24,01_ablate_core_observation_features,No core observation features
0.9235856533050536,1.425920844078064,25,01_ablate_core_observation_features,No core observation features
0.90544855594635,1.2688149213790894,26,01_ablate_core_observation_features,No core observation features
0.8716514706611633,1.0842280387878418,27,01_ablate_core_observation_features,No core observation features
0.8143832683563232,1.245108962059021,28,01_ablate_core_observation_features,No core observation features
0.7716576457023621,1.141884446144104,29,01_ablate_core_observation_features,No core observation features
0.7467929720878601,1.2686717510223389,30,01_ablate_core_observation_features,No core observation features
0.7484210729598999,1.0384588241577148,31,01_ablate_core_observation_features,No core observation features
0.70220947265625,1.0562342405319214,32,01_ablate_core_observation_features,No core observation features
0.6711243391036987,1.109117031097412,33,01_ablate_core_observation_features,No core observation features
0.6457635760307312,1.0168250799179075,34,01_ablate_core_observation_features,No core observation features
0.6275843977928162,1.0355602502822876,35,01_ablate_core_observation_features,No core observation features
0.6052426695823669,1.0178439617156982,36,01_ablate_core_observation_features,No core observation features
0.588753879070282,1.036797285079956,37,01_ablate_core_observation_features,No core observation features
0.5865716338157654,1.033141016960144,38,01_ablate_core_observation_features,No core observation features
0.5743870735168457,1.0235004425048828,39,01_ablate_core_observation_features,No core observation features
0.5619396567344666,1.0241721868515017,40,01_ablate_core_observation_features,No core observation features
3.876086473464966,2.955864191055298,1,02_ablate_graph_topology_features,No graph topology features
