experiment,label,parameter,mean_bias,mean_abs_error,rmse,mean_coverage_95,spearman_r,baseline_mean_abs_error,baseline_rmse,baseline_mean_coverage_95,baseline_spearman_r,delta_mean_abs_error_vs_baseline,delta_rmse_vs_baseline,delta_coverage_vs_baseline,delta_spearman_vs_baseline
05_ablate_global_graph_features,No global graph features,rho,-0.0016363245653122215,0.1369407953809836,0.17580561183093307,0.9387654320987654,0.7936430745634663,0.13871454654656348,0.17771008852298806,0.942716049382716,0.789485637695026,-0.0017737511655798732,-0.001904476692054985,-0.00395061728395063,0.0041574368684402785
02_ablate_graph_topology_features,No graph topology features,beta0,-0.0016706859218502809,0.021975134230667243,0.029513942720114525,0.9333333333333333,0.998684178822047,0.02226720385641301,0.02992296174907273,0.9338271604938272,0.9986337279730633,-0.00029206962574576667,-0.00040901902895820394,-0.0004938271604938427,5.045084898369634e-05
02_ablate_graph_topology_features,No graph topology features,sigma2_w,-0.005663296386213645,0.1326656569825826,0.19042048096275432,0.9333333333333333,0.7934076828442083,0.13232850287157402,0.1898084670137389,0.9382716049382716,0.7939972665366642,0.0003371541110085696,0.0006120139490154164,-0.004938271604938205,-0.0005895836924559861
02_ablate_graph_topology_features,No graph topology features,eta,0.014283195474317275,0.14108424036743486,0.17631604655330754,0.945679012345679,0.5620595482550628,0.14033308637883216,0.1748919769495111,0.9476543209876543,0.5691543940762231,0.0007511539886027041,0.0014240696037964296,-0.0019753086419753707,-0.007094845821160378
02_ablate_graph_topology_features,No graph topology features,rho,-0.0026606122744276856,0.1397975930259211,0.1795536391081199,0.9392592592592592,0.7841105936802051,0.13871454654656348,0.17771008852298806,0.942716049382716,0.789485637695026,0.0010830464793576133,0.0018435505851318312,-0.0034567901234567877,-0.005375044014820918
04_ablate_local_spatial_features,No local spatial features,beta0,7.724745015209156e-05,0.02177296400542948,0.029573789452371425,0.931604938271605,0.9985924002144995,0.02226720385641301,0.02992296174907273,0.9338271604938272,0.9986337279730633,-0.0004942398509835307,-0.0003491722967013042,-0.0022222222222222365,-4.1327758563802774e-05
04_ablate_local_spatial_features,No local spatial features,sigma2_w,-0.00818727714824131,0.1318179531059879,0.19005923146920287,0.9395061728395062,0.7935938906397668,0.13232850287157402,0.1898084670137389,0.9382716049382716,0.7939972665366642,-0.0005105497655861213,0.00025076445546395876,0.0012345679012346622,-0.0004033758968974288
04_ablate_local_spatial_features,No local spatial features,eta,0.013627893813098148,0.14174256520383174,0.17658251472883923,0.9476543209876543,0.5575929898611084,0.14033308637883216,0.1748919769495111,0.9476543209876543,0.5691543940762231,0.0014094788249995882,0.0016905377793281218,0.0,-0.011561404215114757
04_ablate_local_spatial_features,No local spatial features,rho,-0.002567032422416953,0.13950479198803042,0.17861950948136743,0.9422222222222222,0.7873414965739578,0.13871454654656348,0.17771008852298806,0.942716049382716,0.789485637695026,0.0007902454414669413,0.00090942095837937,-0.0004938271604938427,-0.0021441411210681993
06_core_observation_only,Only core observation features,beta0,-0.00016437535103048303,0.01712843470658423,0.0227139381949317,0.9711111111111111,0.9989810282589888,0.02226720385641301,0.02992296174907273,0.9338271604938272,0.9986337279730633,-0.005138769149828779,-0.00720902355414103,0.037283950617283956,0.00034730028592555584
06_core_observation_only,Only core observation features,sigma2_w,-0.006172720771494902,0.1408475933362116,0.19840491705451063,0.9518518518518518,0.768761981070972,0.13232850287157402,0.1898084670137389,0.9382716049382716,0.7939972665366642,0.008519090464637585,0.008596450040771725,0.013580246913580285,-0.025235285465692203
06_core_observation_only,Only core observation features,eta,0.015534135934431106,0.179751783116048,0.20995310555314,0.9491358024691358,0.1716605856939961,0.14033308637883216,0.1748919769495111,0.9476543209876543,0.5691543940762231,0.03941869673721585,0.035061128603628894,0.001481481481481417,-0.39749380838222703
06_core_observation_only,Only core observation features,rho,-0.004412157199317503,0.2198770627099266,0.2572664825217878,0.9481481481481482,0.4642800747059733,0.13871454654656348,0.17771008852298806,0.942716049382716,0.789485637695026,0.08116251616336312,0.07955639399879974,0.005432098765432158,-0.3252055629890527
