display_id,area_id,area_name,atlas_region,area_name_korean
K059,29155,Nam-gu,SW,남구
K060,29170,Buk-gu,SW,북구
K061,29200,Gwangsan-gu,SW,광산구
K062,30110,Dong-gu,SE,동구
K063,30140,Jung-gu,SE,중구
K064,30170,Seo-gu,SE,서구
K065,30200,Yuseong-gu,SE,유성구
K066,30230,Daedeok-gu,SE,대덕구
K067,31110,Jung-gu,SE,중구
K068,31140,Nam-gu,SE,남구
K069,31170,Dong-gu,SE,동구
K070,31200,Buk-gu,SE,북구
K071,31710,Ulju-gun,SE,울주군
K072,36110,Sejong-si,NW,세종특별자치시
K073,41111,"Jangan-gu, Suwon-si",NW,수원시 장안구
K074,41113,"Gwonseon-gu, Suwon-si",NW,수원시 권선구
K075,41115,"Paldal-gu, Suwon-si",NW,수원시 팔달구
K076,41117,"Yeongtong-gu, Suwon-si",NW,수원시 영통구
K077,41131,"Sujeong-gu, Seongnam-si",NW,성남시 수정구
K078,41133,"Jungwon-gu, Seongnam-si",NW,성남시 중원구
K079,41135,"Bundang-gu, Seongnam-si",NW,성남시 분당구
K080,41150,Uijeongbu-si,NW,의정부시
K081,41171,"Manan-gu, Anyang-si",NW,안양시만안구
K082,41173,"Dongan-gu, Anyang-si",NW,안양시동안구
K083,41190,Bucheon-si,NW,부천시
K084,41210,Gwangmyeong-si,NW,광명시
K085,41220,Pyeongtaek-si,NW,평택시
K086,41250,Dongducheon-si,NW,동두천시
K087,41271,"Sangnok-gu, Ansan-si",NW,안산시상록구
K088,41273,"Danwon-gu, Ansan-si",NW,안산시단원구
K089,41281,"Deogyang-gu, Goyang-si",NW,고양시덕양구
K090,41285,"Ilsandong-gu, Goyang-si",NW,고양시일산동구
K091,41287,"Ilsanseo-gu, Goyang-si",NW,고양시일산서구
K092,41290,Gwacheon-si,NW,과천시
K093,41310,Guri-si,NW,구리시
K094,41360,Namyangju-si,NW,남양주시
K095,41370,Osan-si,NW,오산시
K096,41390,Siheung-si,NW,시흥시
K097,41410,Gunpo-si,NW,군포시
K098,41430,Uiwang-si,NW,의왕시
K099,41450,Hanam-si,NW,하남시
K100,41461,"Cheoin-gu, Yongin-si",NW,용인시처인구
K101,41463,"Giheung-gu, Yongin-si",NW,용인시기흥구
K102,41465,"Suji-gu, Yongin-si",NW,용인시수지구
K103,41480,Paju-si,NW,파주시
K104,41500,Icheon-si,NE,이천시
K105,41550,Anseong-si,NW,안성시
K106,41570,Gimpo-si,NW,김포시
K107,41590,Hwaseong-si,NW,화성시
K108,41610,Gwangju-si,NW,광주시
K109,41630,Yangju-si,NW,양주시
K110,41650,Pocheon-si,NW,포천시
K111,41670,Yeoju-si,NE,여주시
K112,41800,Yeoncheon-gun,NW,연천군
K113,41820,Gapyeong-gun,NE,가평군
K114,41830,Yangpyeong-gun,NE,양평군
