from_index,to_index,from_id,to_id,from_name,to_name,edge_dissimilarity,risk_contrast,dissimilarity_quintile
165,169,45140,45710,Iksan-si,Wanju-gun,0.018708454785914735,0.10957126063800171,Q1
166,168,45180,45210,Jeongeup-si,Gimje-si,0.3180437313605573,0.12704118007741627,Q2
166,169,45180,45710,Jeongeup-si,Wanju-gun,0.570607870970413,0.1893147017931991,Q3
166,173,45180,45750,Jeongeup-si,Imsil-gun,1.1037988323689931,0.005683645762687206,Q4
166,174,45180,45770,Jeongeup-si,Sunchang-gun,0.8792973749380129,0.13957996783655435,Q4
166,175,45180,45790,Jeongeup-si,Gochang-gun,0.4209402326830917,0.1176372677185622,Q2
166,176,45180,45800,Jeongeup-si,Buan-gun,0.3180437313605573,0.05165138944434755,Q2
166,195,45180,46880,Jeongeup-si,Jangseong-gun,0.8605889201520982,0.13992912752448738,Q3
167,172,45190,45740,Namwon-si,Jangsu-gun,0.17773032046619175,0.027416326540077307,Q1
167,173,45190,45750,Namwon-si,Imsil-gun,0.36481486832534576,0.002007548114486113,Q2
167,174,45190,45770,Namwon-si,Sunchang-gun,0.14031341089436555,0.14727116171372767,Q1
167,183,45190,46720,Namwon-si,Gokseong-gun,0.0561253643577459,0.08020478370133333,Q1
167,184,45190,46730,Namwon-si,Gurye-gun,0.3273979587535147,0.13895616679711065,Q2
167,236,45190,48850,Namwon-si,Hadong-gun,0.579962098363372,0.019487172198709324,Q3
167,238,45190,48870,Namwon-si,Hamyang-gun,0.06547959175070162,0.02262835957115783,Q1
168,169,45210,45710,Gimje-si,Wanju-gun,0.2525641396098557,0.06227352171578282,Q2
168,176,45210,45800,Gimje-si,Buan-gun,0.0,0.07538979063306872,Q1
169,170,45710,45720,Wanju-gun,Jinan-gun,0.5612536435774539,0.27329200988339153,Q3
169,173,45710,45750,Wanju-gun,Imsil-gun,0.5331909613985801,0.18363105603051189,Q3
170,171,45720,45730,Jinan-gun,Muju-gun,0.4583571422549213,0.017963004943689853,Q2
170,172,45720,45740,Jinan-gun,Jangsu-gun,0.5706078709704112,0.06425217542728845,Q3
170,173,45720,45750,Jinan-gun,Imsil-gun,0.028062682178873755,0.08966095385287964,Q1
171,172,45730,45740,Muju-gun,Jangsu-gun,1.0289650132253325,0.0822151803709783,Q4
171,201,45730,47150,Muju-gun,Gimcheon-si,1.3750714267647637,0.03028909701331539,Q5
171,239,45730,48880,Muju-gun,Geochang-gun,1.0757361501901228,0.19749426080368515,Q4
172,173,45740,45750,Jangsu-gun,Imsil-gun,0.5425451887915376,0.025408778425591194,Q3
172,238,45740,48870,Jangsu-gun,Hamyang-gun,0.11225072871549013,0.004787966968919477,Q1
172,239,45740,48880,Jangsu-gun,Geochang-gun,0.04677113696479018,0.11527908043270685,Q1
173,174,45750,45770,Imsil-gun,Sunchang-gun,0.2245014574309802,0.14526361359924156,Q1
174,182,45770,46710,Sunchang-gun,Damyang-gun,0.6360874627211146,0.3923020030232749,Q3
174,183,45770,46720,Sunchang-gun,Gokseong-gun,0.08418804653661965,0.06706637801239435,Q1
174,195,45770,46880,Sunchang-gun,Jangseong-gun,0.018708454785914763,0.27950909536104174,Q1
175,176,45790,45800,Gochang-gun,Buan-gun,0.1028965013225344,0.16928865716290975,Q1
175,194,45790,46870,Gochang-gun,Yeonggwang-gun,0.5425451887915408,0.015368779186216486,Q3
175,195,45790,46880,Gochang-gun,Jangseong-gun,0.4396486874690064,0.2575663952430496,Q2
177,191,46110,46830,Mokpo-si,Yeongam-gun,0.06547959175070323,0.030564131523457938,Q1
177,192,46110,46840,Mokpo-si,Muan-gun,1.3470087445858898,0.04811269723547262,Q4
178,179,46130,46150,Yeosu-si,Suncheon-si,0.8605889201520964,0.1181937800534385,Q3
178,181,46130,46230,Yeosu-si,Gwangyang-si,0.4957740518267507,0.004832837080678054,Q2
179,181,46150,46230,Suncheon-si,Gwangyang-si,0.3648148683253458,0.12302661713411656,Q2
179,183,46150,46720,Suncheon-si,Gokseong-gun,0.261918367002813,0.2463385051219733,Q2
179,184,46150,46730,Suncheon-si,Gurye-gun,0.6454416901140736,0.3050898882177506,Q3
179,186,46150,46780,Suncheon-si,Boseong-gun,1.1037988323689931,0.019135101222395257,Q4
179,187,46150,46790,Suncheon-si,Hwasun-gun,0.898005829723926,0.2222219497882172,Q4
180,187,46170,46790,Naju-si,Hwasun-gun,0.7670466462225194,0.12118141013573602,Q3
180,191,46170,46830,Naju-si,Yeongam-gun,0.7951093284013933,0.1512534018586731,Q3
180,192,46170,46840,Naju-si,Muan-gun,0.48641982443379334,0.1337048361466584,Q2
180,193,46170,46860,Naju-si,Hampyeong-gun,0.01870845478591643,0.17370900178154525,Q1
181,184,46230,46730,Gwangyang-si,Gurye-gun,0.2806268217887278,0.18206327108363407,Q2
181,236,46230,48850,Gwangyang-si,Hadong-gun,0.6267332353281589,0.06259427648523275,Q3
182,183,46710,46720,Damyang-gun,Gokseong-gun,0.7202755092577343,0.32523562501088055,Q3
182,187,46710,46790,Damyang-gun,Hwasun-gun,1.3563629719788473,0.30111906967712443,Q4
182,195,46710,46880,Damyang-gun,Jangseong-gun,0.6547959175070295,0.11279290766223316,Q3
183,184,46720,46730,Gokseong-gun,Gurye-gun,0.3835233231112606,0.05875138309577732,Q2
183,187,46720,46790,Gokseong-gun,Hwasun-gun,0.6360874627211129,0.024116555333756118,Q3
184,236,46730,48850,Gurye-gun,Hadong-gun,0.9073600571168867,0.11946899459840132,Q4
185,186,46770,46780,Goheung-gun,Boseong-gun,2.8998104918168455,0.14402427413118613,Q5
186,187,46780,46790,Boseong-gun,Hwasun-gun,0.20579300264506717,0.24135705101061244,Q1
186,188,46780,46800,Boseong-gun,Jangheung-gun,1.1131530597619506,0.13204685706909025,Q4
187,188,46790,46800,Hwasun-gun,Jangheung-gun,0.9073600571168834,0.1093101939415222,Q4
187,191,46790,46830,Hwasun-gun,Yeongam-gun,0.02806268217887381,0.030071991722937064,Q1
188,189,46800,46810,Jangheung-gun,Gangjin-gun,0.1028965013225327,0.0861330569824581,Q1
188,191,46800,46830,Jangheung-gun,Yeongam-gun,0.9354227392957573,0.13938218566445926,Q4
189,190,46810,46820,Gangjin-gun,Haenam-gun,1.2721749254422292,0.1228554223712992,Q4
189,191,46810,46830,Gangjin-gun,Yeongam-gun,1.03831924061829,0.05324912868200116,Q4
190,191,46820,46830,Haenam-gun,Yeongam-gun,0.2338556848239392,0.06960629368929805,Q1
191,192,46830,46840,Yeongam-gun,Muan-gun,1.2815291528351866,0.017548565712014685,Q4
192,193,46840,46860,Muan-gun,Hampyeong-gun,0.4677113696478769,0.040004165634886846,Q2
192,197,46840,46910,Muan-gun,Sinan-gun,2.0205131168788357,0.12745693565281435,Q5
193,194,46860,46870,Hampyeong-gun,Yeonggwang-gun,1.0663819227971654,0.03208142076856557,Q4
193,195,46860,46880,Hampyeong-gun,Jangseong-gun,0.08418804653661804,0.2408537536607005,Q1
194,195,46870,46880,Yeonggwang-gun,Jangseong-gun,0.9821938762605473,0.27293517442926607,Q4
196,197,46900,46910,Jindo-gun,Sinan-gun,0.4022317778971769,0.2442277270397657,Q2
198,199,47111,47113,"Nam-gu, Pohang-si","Buk-gu, Pohang-si",0.19643877525211148,0.043259837530039036,Q1
198,200,47111,47130,"Nam-gu, Pohang-si",Gyeongju-si,0.08418804653661971,0.024554371219317694,Q1
199,200,47113,47130,"Buk-gu, Pohang-si",Gyeongju-si,0.11225072871549177,0.06781420874935673,Q1
199,205,47113,47230,"Buk-gu, Pohang-si",Yeongcheon-si,1.141215741940826,0.20135253556736465,Q4
199,211,47113,47750,"Buk-gu, Pohang-si",Cheongsong-gun,0.3741690957183015,0.20191741388605067,Q2
199,213,47113,47770,"Buk-gu, Pohang-si",Yeongdeok-gun,1.3002376076211013,0.04252049758189802,Q4
200,205,47130,47230,Gyeongju-si,Yeongcheon-si,1.0289650132253343,0.13353832681800792,Q4
200,214,47130,47820,Gyeongju-si,Cheongdo-gun,0.47706559704083595,0.07149816901423378,Q2
201,203,47150,47190,Gimcheon-si,Gumi-si,1.0009023310464604,0.02507230909800917,Q4
201,206,47150,47250,Gimcheon-si,Sangju-si,0.1309591835014065,0.08885175622343411,Q1
201,216,47150,47840,Gimcheon-si,Seongju-gun,0.8138177831873079,0.04664350061547484,Q3
201,217,47150,47850,Gimcheon-si,Chilgok-gun,1.5808644294098306,0.06696815360054487,Q5
201,239,47150,48880,Gimcheon-si,Geochang-gun,0.2993352765746409,0.16720516379036976,Q2
202,204,47170,47210,Andong-si,Yeongju-si,0.5706078709704113,0.09528408563085122,Q3
202,210,47170,47730,Andong-si,Uiseong-gun,1.9456792977351767,0.0970603132667387,Q5
202,211,47170,47750,Andong-si,Cheongsong-gun,0.14966763828732127,0.17288798666817318,Q1
202,212,47170,47760,Andong-si,Yeongyang-gun,0.09354227392957537,0.1193832740093459,Q1
202,218,47170,47900,Andong-si,Yecheon-gun,0.33675218614647373,0.14468939080874144,Q2
202,219,47170,47920,Andong-si,Bonghwa-gun,1.7211778403041929,0.10307941395505704,Q5
203,206,47190,47250,Gumi-si,Sangju-si,0.8699431475450539,0.11392406532144328,Q3
203,209,47190,47720,Gumi-si,Gunwi-gun,2.039221571664749,0.017645780678757106,Q5
203,210,47190,47730,Gumi-si,Uiseong-gun,2.4040364399900978,0.09771665761567672,Q5
203,217,47190,47850,Gumi-si,Chilgok-gun,2.581766760456291,0.041895844502535695,Q5
204,218,47210,47900,Yeongju-si,Yecheon-gun,0.907360057116885,0.23997347643959266,Q4
204,219,47210,47920,Yeongju-si,Bonghwa-gun,1.1505699693337816,0.19836349958590827,Q4
205,208,47230,47290,Yeongcheon-si,Gyeongsan-si,0.8044635557943524,0.25574901187676957,Q3
