n_areas,n_edges,mean_degree,median_degree,degree_q90,median_edge_dissimilarity,scale_m,covariate_moran_i,median_log_exposure,source,application,configuration
101.0,287.0,5.683168316831683,6.0,7.0,0.9856386078266182,0.7032467834111826,-0.1929084105680556,5.460824005353353,training,,135.0
75.0,211.0,5.626666666666667,5.0,7.0,1.018933269536769,0.6802674927623732,-0.0023871731869848298,5.605063358289405,training,,136.0
240.0,705.0,5.875,6.0,8.0,0.9531439509629966,0.7272219268239944,0.028863401427872724,5.804677883325477,training,,137.0
264.0,774.0,5.863636363636363,6.0,8.0,0.9315583358168271,0.7440727584195428,0.04487989970768505,5.1988680511702885,training,,138.0
72.0,204.0,5.666666666666667,5.0,7.0,0.8759202519607729,0.7913359452624998,0.05567983296814828,5.293517486217285,training,,139.0
274.0,805.0,5.875912408759124,6.0,8.0,0.9411488953254399,0.7364904575702252,0.013164852267728462,5.494320124273752,training,,140.0
89.0,252.0,5.662921348314606,6.0,7.0,1.1254085860888363,0.6159071373081122,-0.10593624754130207,6.371340086579031,training,,141.0
291.0,852.0,5.855670103092783,6.0,8.0,0.9001771195082082,0.7700119960154407,0.027041893096037828,5.279951105820012,training,,142.0
183.0,532.0,5.814207650273224,6.0,7.0,1.0325205494977605,0.6713156274682441,-0.0554428072471963,5.106675806264786,training,,143.0
190.0,553.0,5.821052631578947,6.0,7.0,1.0334955432208859,0.6706823121846797,-0.05391711785219827,5.333531752168243,training,,144.0
185.0,543.0,5.870270270270271,6.0,8.0,0.9241715320254832,0.7500200520576438,-6.315424395134684e-07,5.7118528601409,training,,145.0
270.0,796.0,5.896296296296296,6.0,8.0,1.0712368660911529,0.6470531424942245,-0.09335182641724164,5.040454488376817,training,,146.0
217.0,635.0,5.852534562211981,6.0,7.0,0.8590618831445389,0.8068652493609961,0.09473174787402043,4.744378385699124,training,,147.0
56.0,156.0,5.571428571428571,5.0,7.0,1.0701284881595283,0.6477233231609988,-0.039176743072894406,5.315068016122044,training,,148.0
297.0,877.0,5.905723905723906,6.0,8.0,0.9587034037401844,0.7230048186496199,0.005255709238229038,5.446795203140058,training,,149.0
118.0,339.0,5.745762711864407,5.5,8.0,0.9933595222131064,0.6977807783184905,-0.012262157581846926,4.89290678005943,training,,150.0
191.0,555.0,5.81151832460733,6.0,8.0,1.0342859651262815,0.6701697634225514,-0.0007963990030652822,5.354499653500762,training,,151.0
215.0,626.0,5.823255813953488,6.0,7.0,0.9788297056251485,0.7081386849791746,-0.05793969430803537,5.371871264283105,training,,152.0
69.0,193.0,5.594202898550725,5.0,8.0,1.0181265268862196,0.6808065228197396,-0.058786317301222565,4.136260589257588,training,,153.0
74.0,211.0,5.702702702702703,5.0,7.0,1.0331664885676233,0.6708959187409582,0.006107695492154658,4.735215057043309,training,,154.0
69.0,195.0,5.6521739130434785,6.0,7.0,1.0062837574157857,0.688818810252886,-0.027851761952119296,5.39373877787367,training,,155.0
287.0,845.0,5.888501742160279,6.0,8.0,0.953185954292163,0.7271898808818235,-0.029082075900538747,5.852436258253889,training,,156.0
174.0,504.0,5.793103448275862,6.0,8.0,1.0212130024061836,0.678748878957427,-0.006332174157946069,5.48642540754174,training,,157.0
287.0,844.0,5.881533101045296,6.0,8.0,0.9584845914374988,0.723169873310524,-0.049231878551309026,5.266803521236898,training,,158.0
155.0,448.0,5.780645161290322,6.0,8.0,0.9679206528722881,0.7161198374092368,-0.0826636660658574,5.421089022227201,training,,159.0
94.0,271.0,5.76595744680851,6.0,7.0,0.9725945664407316,0.7126784422583802,0.05790167640788706,4.9155958085969775,training,,160.0
252.0,737.0,5.849206349206349,6.0,7.0,0.9929165474824805,0.6980920826804687,-0.009542050609818687,5.910296921924336,training,,161.0
116.0,331.0,5.706896551724138,6.0,8.0,0.9874646339909873,0.7019463347851623,0.010149909460794545,5.39246164109108,training,,162.0
243.0,710.0,5.843621399176954,6.0,8.0,0.9578001296694116,0.7236866639381095,0.0024003135114885024,5.296656764892261,training,,163.0
272.0,796.0,5.852941176470588,6.0,8.0,0.9848637769984374,0.7038000551431034,-0.059605939017365196,5.380184524418549,training,,164.0
44.0,119.0,5.409090909090909,5.0,7.0,1.0974569347798424,0.6315939683765318,0.017905692452855438,5.62942480880656,training,,165.0
118.0,337.0,5.711864406779661,6.0,8.0,0.9720105532501409,0.7131066409127435,0.02700670152166602,5.821163705050488,training,,166.0
284.0,833.0,5.866197183098592,6.0,8.0,0.969622350163296,0.7148630396599367,-0.0038581786757356873,5.20882245176191,training,,167.0
227.0,665.0,5.859030837004405,6.0,8.0,0.9569018032637937,0.7243660511410511,0.044681889789748595,5.770747606150892,training,,168.0
284.0,835.0,5.880281690140845,6.0,7.700000000000017,0.9440586293617582,0.734220480595104,0.0027622733150019637,5.114226677521819,training,,169.0
41.0,110.0,5.365853658536586,5.0,7.0,0.9098638692530592,0.7618141614184277,-0.07883955885368037,5.363891827418071,training,,170.0
45.0,120.0,5.333333333333333,5.0,6.600000000000001,0.8527177930331895,0.8128682035522702,0.0069575059479268404,5.467544602156092,training,,171.0
134.0,387.0,5.776119402985074,6.0,7.0,1.0439678027579569,0.663954557534042,-0.01471073343885639,4.217541118681824,training,,172.0
185.0,539.0,5.827027027027027,6.0,8.0,0.9136662549532051,0.7586437353926856,0.021960984419343858,4.915751419615715,training,,173.0
113.0,322.0,5.699115044247788,6.0,7.0,0.9641773917645378,0.7189000556126077,-0.08534418355045198,5.95623078366731,training,,174.0
225.0,656.0,5.831111111111111,6.0,7.0,0.9863425150865184,0.7027449085464443,-0.011575841577471945,5.76077225067942,training,,175.0
165.0,478.0,5.793939393939394,6.0,8.0,0.9240229238351891,0.75014067582113,0.0849777610495082,6.263963534859495,training,,176.0
281.0,827.0,5.8861209964412815,6.0,8.0,0.97179185564741,0.7132671225137702,-0.04024617015490581,5.077926995045761,training,,177.0
73.0,201.0,5.506849315068493,5.0,7.799999999999997,0.9625986741342885,0.7200790933805576,0.04434302758829022,5.150849011810135,training,,178.0
198.0,580.0,5.858585858585859,6.0,8.0,1.0133565110862293,0.6840111776821292,-0.03577847152558969,5.3585582901246465,training,,179.0
290.0,852.0,5.875862068965517,6.0,8.0,0.993864280396717,0.6974263933534912,-0.00043469032596754034,5.35999686289821,training,,180.0
131.0,378.0,5.770992366412214,6.0,8.0,0.945498927967375,0.7331020269373195,0.031803746188994626,5.835386843484439,training,,181.0
230.0,670.0,5.826086956521739,6.0,8.0,1.0085632053573317,0.6872620147929794,-0.00993760402016576,5.44322710171534,training,,182.0
287.0,846.0,5.895470383275262,6.0,8.0,0.8979126173837834,0.7719539375441054,-0.003665788710305994,5.769263890608038,training,,183.0
56.0,152.0,5.428571428571429,5.0,7.5,0.9438360262666157,0.734393646004083,0.15002688519555396,5.7050858020924835,training,,184.0
246.0,721.0,5.861788617886178,6.0,8.0,0.9393512008421787,0.7378999249040207,0.03121834581763512,5.5545137188946985,training,,185.0
