area_id,risk_abi,fitted_count_mean_abi,pred_count_mean_abi,pred_count_lower_abi,pred_count_upper_abi,observed,expected,risk_carbayes
43745,1.4829704,103.08093,103.246,80.0,127.0,91.0,69.50977,1.13711540071765
43750,1.3811398,207.23537,206.792,161.975,253.0,156.0,150.04663,1.07670546463139
43760,1.2508434,183.16862,182.991,151.0,213.0,168.0,146.4361,1.12085059168685
43770,1.3861729,309.73624,309.545,252.0,364.02502,256.0,223.44704,1.09806427640011
43800,1.331591,131.823,131.916,94.975,166.0,129.0,98.99661,1.1538171079837
44131,1.3418871,545.55975,545.909,454.0,622.05005,441.0,406.56158,1.08266373392776
44133,1.3246031,500.54996,499.851,406.975,568.025,402.0,377.88675,1.06484743047546
44150,1.1133466,349.655,350.127,294.0,436.0,323.0,314.05765,1.02969738024122
44180,1.2375282,353.8876,354.194,305.975,410.0,332.0,285.96326,1.10311838958145
44200,1.2711452,586.7888,587.027,485.0,669.025,496.0,461.6222,1.06416324473075
44210,1.0417038,378.36642,379.049,326.975,436.0,355.0,363.2188,1.00390697391623
44230,1.0491571,373.26764,373.809,315.0,439.0,362.0,355.7786,1.0045476655753
44250,0.7087761,37.686863,37.891,25.0,52.0,39.0,53.171745,0.86284090823596
44270,1.1700885,420.59512,420.75,357.975,479.0,375.0,359.4558,1.04184249328338
44710,1.1446309,208.01361,207.588,170.975,245.0,186.0,181.72986,1.03588922580816
44760,1.0006843,264.1878,264.636,219.0,314.02502,240.0,264.00714,0.985692396128999
44770,1.2775247,280.62747,280.276,237.0,326.02502,258.0,219.66501,1.12721120477814
44790,0.9493679,125.67076,125.655,98.0,153.0,116.0,132.3731,0.992656211509705
44800,1.0858067,293.34213,293.876,234.0,346.02502,290.0,270.16055,1.05265271229144
44810,1.1087588,310.9289,310.826,258.0,364.02502,289.0,280.4297,1.03054123484136
44825,1.0939722,226.4969,226.394,190.975,264.0,220.0,207.04082,1.04910492749728
45111,1.0014946,577.3955,576.774,506.975,656.0,542.0,576.5338,0.944587579814008
45113,0.93798804,438.55237,438.86,382.0,504.02502,440.0,467.5458,0.947778111308884
45130,1.1285297,599.74634,600.397,529.0,678.0,563.0,531.4405,1.03825970664569
45140,0.972267,593.3747,594.126,517.0,673.025,589.0,610.3002,0.972474800293837
45180,1.1133869,380.49564,379.918,326.975,437.0,357.0,341.74612,1.03205692929928
45190,1.1048563,282.57782,282.773,241.975,330.0,265.0,255.75981,1.04543207648952
45210,0.9335243,282.19653,282.744,244.0,327.02502,278.0,302.29156,0.960454977900238
45710,0.8592732,202.98804,203.185,169.975,240.0,204.0,236.23225,0.95999935267292
45720,1.1108541,112.770546,112.958,91.0,135.02502,115.0,101.51697,1.05830265419606
45730,1.3083178,122.54579,122.115,93.975,152.0,108.0,93.66669,1.08589398914547
45740,1.2059606,103.422554,103.07,78.0,131.0,91.0,85.759476,1.05387262105601
45750,1.0849259,128.81396,128.337,102.0,157.0,123.0,118.73066,1.03463968169448
45770,1.2922918,143.43349,143.297,117.0,174.0,133.0,110.99157,1.06184731170327
45790,1.2745329,271.32956,270.855,230.0,314.0,250.0,212.88548,1.10807002569121
45800,1.0735835,210.19136,209.941,176.0,247.0,194.0,195.78484,1.01444624620162
46110,1.2416472,487.9919,487.698,425.975,559.0,458.0,393.01978,1.14793840662926
46130,1.053138,602.93854,602.438,530.0,680.025,566.0,572.5162,0.98387637202955
46150,0.91423965,447.66376,447.761,393.975,509.0,430.0,489.65692,0.935078182624544
46170,0.95778567,271.28598,270.277,227.975,315.0,275.0,283.2429,1.02529156597683
46230,0.96110827,218.94221,219.586,186.0,253.0,226.0,227.80182,1.00081380685434
46710,0.8832549,144.04071,144.801,119.0,173.0,132.0,163.07944,0.95948330853061
46720,1.138933,137.20589,136.552,111.0,163.02502,135.0,120.4688,1.03712166730705
46730,1.1921102,118.42806,118.58,95.0,145.0,118.0,99.34322,1.0565698126544
46770,1.0602137,320.8934,320.659,274.975,370.02502,301.0,302.6686,0.995242945864228
46780,0.8533919,155.83252,155.229,129.0,183.0,157.0,182.6037,0.928227594635582
46790,1.0123004,189.46552,189.794,157.975,221.0,205.0,187.16335,1.0158966208864
46800,0.9278326,140.92648,140.578,114.0,169.0,149.0,151.88783,1.00997833711529
46810,0.9997462,137.4537,138.009,112.0,165.0,147.0,137.4886,1.07990511103682
46820,1.2071248,305.00146,304.251,261.0,344.02502,306.0,252.66771,1.1706789779639
46830,1.1678283,190.42513,189.859,160.0,224.0,184.0,163.05917,1.08957554869411
46840,1.141639,218.20155,218.146,169.0,267.0,212.0,191.13008,1.09677057854446
46860,1.1993492,160.12926,160.31,130.0,191.0,154.0,133.51346,1.10049646721438
46870,1.4370404,249.54614,248.538,201.925,293.0,207.0,173.65283,1.13433572508745
46880,1.0169238,154.8589,154.557,125.0,185.02502,138.0,152.28172,1.02658931625875
46900,1.3298911,152.7303,152.755,125.0,183.0,143.0,114.844215,1.16940317314707
46910,1.209377,197.08173,196.938,158.0,234.0,159.0,162.96136,1.0321024965014
47111,1.1839688,483.73495,484.538,423.0,551.0,454.0,408.5707,1.11144370211778
47113,1.212092,576.28314,576.845,492.975,666.025,506.0,475.44504,1.09231285055811
47130,1.4120271,849.0242,847.491,705.9,963.025,685.0,601.28033,1.13570911839613
47150,1.4504105,518.18677,517.81,400.975,610.05005,401.0,357.26904,1.11166161889347
47170,1.1672397,510.34302,510.944,446.0,584.0,479.0,437.22214,1.11440165540788
47190,1.4126545,624.4941,624.343,457.0,792.025,484.0,442.07135,1.10568240197383
47210,1.1504232,357.11917,356.182,298.0,415.0,309.0,310.4242,1.06615394383374
47230,1.5563267,478.38535,477.933,372.975,564.025,400.0,307.38104,1.19896874828467
47250,1.5901077,544.3955,545.703,444.0,632.0,420.0,342.36392,1.17121081622839
47280,1.4731528,345.25882,344.868,274.0,410.02502,293.0,234.3673,1.17071296937959
47290,1.3253495,610.1844,609.464,492.975,701.025,464.0,460.39508,1.06056232442525
47720,1.5128691,163.4269,164.214,120.0,211.0,120.0,108.024475,1.14481330335202
47730,1.7118697,420.00668,421.409,302.95,518.025,296.0,245.34967,1.18725492051344
47750,1.6873962,179.26523,178.777,132.0,234.0,138.0,106.237785,1.16895412575213
47760,1.6642585,119.187325,119.127,84.975,154.0,88.0,71.615875,1.14160757478137
47770,1.4770432,223.51616,222.833,143.95,285.0,154.0,151.32677,1.08273632890485
47820,1.5036963,261.38297,261.512,200.975,309.0,184.0,173.82697,1.11746585807812
47830,1.1414539,127.103004,127.017,96.0,165.0,110.0,111.35186,1.08347886399164
47840,1.5008821,231.35349,232.204,165.0,289.0,181.0,154.145,1.12229374952366
47850,1.491125,300.06693,299.912,217.975,356.0,211.0,201.23526,1.09317461211275
47900,1.638853,310.97882,311.696,240.0,363.02502,240.0,189.75395,1.18984283778425
47920,1.517722,205.35478,205.288,168.0,239.0,164.0,135.30461,1.13788663427112
47930,1.5712559,244.00304,243.484,159.975,300.0,168.0,155.29172,1.09533459538042
48121,1.0942608,375.1739,375.52,322.0,430.0,352.0,342.85602,1.05646833490665
48123,0.9454685,198.16425,196.987,164.975,231.02502,185.0,209.5937,0.956472068233513
48125,1.1958826,449.67648,449.331,389.975,514.0,422.0,376.0206,1.12971004713406
