from_index0,to_index0,from_id,to_id,edge_dissimilarity,boundary_prob_abi,boundary_median_abi,boundary_prob,boundary_median_car
70,214,31710,47820,0.046868652,0.0,0,0.0,0
70,230,31710,48270,0.093737304,0.0,0,0.0,0
70,231,31710,48330,0.82488525,0.12589,0,0.0,0
71,133,36110,43112,1.2467015,0.37489,0,0.0,0
71,134,36110,43113,2.1278284,0.60982,1,0.8055,1
71,146,36110,44131,3.0277033,0.71354,1,0.962,1
71,148,36110,44150,1.6778915,0.51775,1,0.1515,0
72,73,41111,41113,1.012359,0.25653,0,0.0,0
72,74,41111,41115,0.7405219,0.04439,0,0.0,0
72,75,41111,41117,1.6216496,0.50259,1,0.118,0
72,97,41111,41430,0.5811699,0.0,0,0.0,0
72,101,41111,41465,2.015345,0.5912,1,0.798,1
73,74,41113,41115,0.27183712,0.0,0,0.0,0
73,75,41113,41117,2.6340086,0.67579,1,0.9313,1
73,86,41113,41271,0.92799556,0.20383,0,0.0,0
73,97,41113,41430,1.593529,0.49537,0,0.088,0
73,106,41113,41590,0.73114884,0.03562,0,0.0,0
74,75,41115,41117,2.3621716,0.64343,1,0.8529,1
75,100,41117,41463,0.13123226,0.0,0,0.0,0
75,101,41117,41465,0.39369535,0.0,0,0.0,0
75,106,41117,41590,1.9028598,0.5693,1,0.7655,1
76,77,41131,41133,0.20622146,0.0,0,0.0,0
76,78,41131,41135,4.6118584,0.8048,1,1.0,1
76,91,41131,41290,5.230522,0.82601,1,1.0,1
76,97,41131,41430,2.6715035,0.67982,1,0.9343,1
76,98,41131,41450,3.037077,0.71434,1,0.9633,1
77,78,41133,41135,4.405637,0.79691,1,1.0,1
77,98,41133,41450,2.8308554,0.69539,1,0.9458,1
77,107,41133,41610,0.38432145,0.0,0,0.0,0
78,97,41135,41430,1.9403546,0.57675,1,0.7774,1
78,101,41135,41465,0.5061796,0.0,0,0.0,0
78,107,41135,41610,4.021315,0.7791,1,0.9999,1
79,93,41150,41360,0.2718371,0.0,0,0.0,0
79,108,41150,41630,0.11248422,0.0,0,0.0,0
79,109,41150,41650,0.9654904,0.228,0,0.0,0
80,81,41171,41173,1.3216909,0.40513,0,0.0002999999999999,0
80,83,41171,41210,0.79676354,0.09969,0,0.0,0
80,86,41171,41271,1.8091234,0.54904,1,0.5872,1
80,95,41171,41390,1.302944,0.39777,0,0.0002999999999999,0
80,96,41171,41410,0.43118998,0.0,0,0.0,0
81,91,41173,41290,1.9497286,0.57867,1,0.7813,1
81,96,41173,41410,0.8905009,0.17703,0,0.0,0
81,97,41173,41430,0.6092898,0.0,0,0.0,0
82,83,41190,41210,0.74989486,0.05347,0,0.0,0
82,95,41190,41390,1.3498126,0.41604,0,0.0002999999999999,0
83,95,41210,41390,2.0997076,0.60534,1,0.8039,1
84,94,41220,41370,0.27183715,0.0,0,0.0,0
84,99,41220,41461,0.7592689,0.06319,0,0.0,0
84,104,41220,41550,0.018746942,0.0,0,0.0,0
84,106,41220,41590,0.5249273,0.0,0,0.0,0
84,147,41220,44133,0.731148,0.03562,0,0.0,0
84,150,41220,44200,0.12185815,0.0,0,0.0,0
84,154,41220,44270,0.5155535,0.0,0,0.0,0
85,108,41250,41630,1.9403546,0.57675,1,0.7774,1
85,109,41250,41650,0.8623799,0.15628,0,0.0,0
85,111,41250,41800,1.0779754,0.2945,0,0.0,0
86,87,41271,41273,0.2624632,0.0,0,0.0,0
86,95,41271,41390,0.50617945,0.0,0,0.0,0
86,96,41271,41410,2.2403135,0.62658,1,0.814,1
86,97,41271,41430,2.5215244,0.66289,1,0.9197,1
86,106,41271,41590,1.6591444,0.51284,1,0.1392,0
87,95,41273,41390,0.24371624,0.0,0,0.0,0
87,106,41273,41590,1.3966812,0.4325,0,0.0009,0
88,89,41281,41285,1.8466182,0.55754,1,0.6995,1
88,102,41281,41480,0.09373641,0.0,0,0.0,0
88,108,41281,41630,0.09373641,0.0,0,0.0,0
89,90,41285,41287,0.12185824,0.0,0,0.0,0
89,102,41285,41480,1.7528818,0.53621,1,0.3078,0
90,102,41287,41480,1.6310236,0.50517,1,0.1273,0
90,105,41287,41570,0.40306914,0.0,0,0.0,0
91,97,41290,41430,2.5590184,0.66742,1,0.9275,1
92,93,41310,41360,1.5279125,0.47544,0,0.0097,0
93,98,41360,41450,1.72476,0.52944,1,0.1864,0
93,107,41360,41610,0.721774,0.02548,0,0.0,0
93,109,41360,41650,1.2373275,0.37082,0,0.0,0
93,112,41360,41820,0.12185812,0.0,0,0.0,0
93,113,41360,41830,0.43119,0.0,0,0.0,0
94,106,41370,41590,0.7967645,0.09969,0,0.0,0
96,97,41410,41430,0.28121108,0.0,0,0.0,0
97,101,41430,41465,1.434175,0.44561,0,0.0026,0
98,107,41450,41610,2.4465342,0.65396,1,0.887,1
99,100,41461,41463,3.3182883,0.73636,1,0.9986,1
99,101,41461,41465,3.5807514,0.75487,1,0.9998,1
99,103,41461,41500,0.12185812,0.0,0,0.0,0
99,104,41461,41550,0.7405219,0.04439,0,0.0,0
99,106,41461,41590,1.2841961,0.39042,0,0.0002999999999999,0
99,107,41461,41610,0.065615654,0.0,0,0.0,0
100,101,41463,41465,0.2624631,0.0,0,0.0,0
100,106,41463,41590,2.034092,0.59455,1,0.8023,1
101,107,41465,41610,3.5151358,0.75029,1,0.9997,1
102,108,41480,41630,0.0,0.0,0,0.0,0
102,111,41480,41800,0.86237913,0.15628,0,0.0,0
103,104,41500,41550,0.86238,0.15628,0,0.0,0
103,107,41500,41610,0.18747377,0.0,0,0.0,0
103,110,41500,41670,1.1342171,0.32267,0,0.0,0
103,144,41500,43770,0.5249274,0.0,0,0.0,0
104,142,41550,43750,1.3591865,0.41932,0,0.0002999999999999,0
104,144,41550,43770,1.3873074,0.42887,0,0.0004999999999999,0
104,147,41550,44133,0.71240103,0.01582,0,0.0,0
107,110,41610,41670,0.94674337,0.21644,0,0.0,0
107,113,41610,41830,1.152964,0.33191,0,0.0,0
108,109,41630,41650,1.0779746,0.2945,0,0.0,0
108,111,41630,41800,0.86237913,0.15628,0,0.0,0
109,111,41650,41800,0.21559548,0.0,0,0.0,0
109,112,41650,41820,1.1154693,0.31299,0,0.0,0
109,126,41650,42780,1.2279545,0.36669,0,0.0,0
109,127,41650,42790,1.7153862,0.52727,1,0.1791,0
110,113,41670,41830,0.20622066,0.0,0,0.0,0
110,115,41670,42130,1.1623389,0.33675,0,0.0,0
110,136,41670,43130,1.302944,0.39777,0,0.0002999999999999,0
110,144,41670,43770,1.6591445,0.51284,1,0.1392,0
111,126,41800,42780,1.012359,0.25653,0,0.0,0
112,113,41820,41830,0.55304813,0.0,0,0.0,0
112,114,41820,42110,0.1687268,0.0,0,0.0,0
112,121,41820,42720,0.34682664,0.0,0,0.0,0
112,127,41820,42790,0.5999168,0.0,0,0.0,0
113,115,41830,42130,1.3685595,0.42232,0,0.0003999999999999,0
113,121,41830,42720,0.8998748,0.18422,0,0.0,0
113,122,41830,42730,0.9092478,0.19078,0,0.0,0
114,121,42110,42720,0.5155535,0.0,0,0.0,0
114,127,42110,42790,0.43119,0.0,0,0.0,0
114,128,42110,42800,0.5249273,0.0,0,0.0,0
114,129,42110,42810,1.0311059,0.26821,0,0.0,0
115,122,42130,42730,0.45931172,0.0,0,0.0,0
115,123,42130,42750,0.27183712,0.0,0,0.0,0
115,136,42130,43130,0.14060509,0.0,0,0.0,0
115,137,42130,43150,0.12185812,0.0,0,0.0,0
116,117,42150,42170,0.06561647,0.0,0,0.0,0
116,121,42150,42720,0.54367423,0.0,0,0.0,0
116,124,42150,42760,0.50617945,0.0,0,0.0,0
116,125,42150,42770,1.4810438,0.46071,0,0.0062999999999999,0
116,131,42150,42830,0.42181608,0.0,0,0.0,0
117,120,42170,42230,0.7780166,0.0813,0,0.0,0
117,125,42170,42770,1.5466603,0.48105,0,0.0206,0
118,120,42190,42230,0.77801657,0.0813,0,0.0,0
118,123,42190,42750,0.74989486,0.05347,0,0.0,0
118,125,42190,42770,0.00937295,0.0,0,0.0,0
118,219,42190,47920,0.36557353,0.0,0,0.0,0
119,129,42210,42810,0.29058397,0.0,0,0.0,0
119,130,42210,42820,0.17810076,0.0,0,0.0,0
119,131,42210,42830,0.34682667,0.0,0,0.0,0
120,125,42230,42770,0.7686436,0.07232,0,0.0,0
120,219,42230,47920,0.41244304,0.0,0,0.0,0
120,220,42230,47930,2.0153441,0.5912,1,0.798,1
121,122,42720,42730,0.009373009,0.0,0,0.0,0
121,124,42720,42760,0.03749478,0.0,0,0.0,0
121,129,42720,42810,0.51555246,0.0,0,0.0,0
121,131,42720,42830,0.12185818,0.0,0,0.0,0
122,123,42730,42750,0.18747461,0.0,0,0.0,0
122,124,42730,42760,0.046867788,0.0,0,0.0,0
123,124,42750,42760,0.2343424,0.0,0,0.0,0
123,125,42750,42770,0.7405219,0.04439,0,0.0,0
123,137,42750,43150,0.149979,0.0,0,0.0,0
123,145,42750,43800,0.19684768,0.0,0,0.0,0
123,204,42750,47210,0.7686436,0.07232,0,0.0,0
123,219,42750,47920,0.38432133,0.0,0,0.0,0
124,125,42760,42770,0.9748643,0.23424,0,0.0,0
126,127,42780,42790,0.4874317,0.0,0,0.0,0
127,128,42790,42800,0.09373731,0.0,0,0.0,0
128,129,42800,42810,1.5560333,0.48376,0,0.0322,0
129,130,42810,42820,0.46868473,0.0,0,0.0,0
129,131,42810,42830,0.63741064,0.0,0,0.0,0
132,133,43111,43112,0.6655324,0.0,0,0.0,0
132,135,43111,43114,0.47805867,0.0,0,0.0,0
132,138,43111,43720,0.7592688,0.06319,0,0.0,0
132,141,43111,43745,1.0686007,0.28966,0,0.0,0
132,143,43111,43760,0.0843634,0.0,0,0.0,0
133,134,43112,43113,0.881127,0.17008,0,0.0,0
133,135,43112,43114,1.143591,0.32742,0,0.0,0
134,135,43113,43114,0.2624641,0.0,0,0.0,0
134,146,43113,44131,0.89987475,0.18422,0,0.0,0
135,141,43114,43745,0.59054196,0.0,0,0.0,0
135,142,43114,43750,1.2841961,0.39042,0,0.0002999999999999,0
135,146,43114,44131,0.63741064,0.0,0,0.0,0
136,137,43130,43150,0.2624632,0.0,0,0.0,0
136,143,43130,43760,1.3498117,0.41604,0,0.0002999999999999,0
136,144,43130,43770,0.35620058,0.0,0,0.0,0
136,207,43130,47280,0.6842793,0.0,0,0.0,0
137,145,43150,43800,0.046868682,0.0,0,0.0,0
137,207,43150,47280,0.4218161,0.0,0,0.0,0
138,139,43720,43730,0.78739053,0.0912,0,0.0,0
138,143,43720,43760,0.6749054,0.0,0,0.0,0
138,206,43720,47250,0.6655324,0.0,0,0.0,0
139,140,43730,43740,0.41244307,0.0,0,0.0,0
139,155,43730,44710,0.028121728,0.0,0,0.0,0
139,206,43730,47250,0.12185815,0.0,0,0.0,0
140,155,43740,44710,0.38432136,0.0,0,0.0,0
140,171,43740,45730,1.5372863,0.47817,0,0.0107,0
140,201,43740,47150,0.15935288,0.0,0,0.0,0
140,206,43740,47250,0.29058492,0.0,0,0.0,0
141,142,43745,43750,0.6936542,0.0,0,0.0,0
141,143,43745,43760,0.98423725,0.24,0,0.0,0
141,144,43745,43770,0.72177505,0.02549,0,0.0,0
142,144,43750,43770,0.028120875,0.0,0,0.0,0
142,146,43750,44131,0.6467855,0.0,0,0.0,0
142,147,43750,44133,0.6467855,0.0,0,0.0,0
143,144,43760,43770,1.7060122,0.525,1,0.1712,0
143,206,43760,47250,0.009373017,0.0,0,0.0,0
143,207,43760,47280,0.6655324,0.0,0,0.0,0
145,204,43800,47210,0.9654913,0.228,0,0.0,0
145,207,43800,47280,0.4686848,0.0,0,0.0,0
145,218,43800,47900,1.8747392,0.56353,1,0.7568,1
146,147,44131,44133,0.0,0.0,0,0.0,0
146,148,44131,44150,1.3498117,0.41604,0,0.0002999999999999,0
146,150,44131,44200,0.8530061,0.14912,0,0.0,0
147,150,44133,44200,0.8530061,0.14912,0,0.0,0
148,150,44150,44200,0.4968056,0.0,0,0.0,0
148,152,44150,44230,1.3216908,0.40513,0,0.0002999999999999,0
148,153,44150,44250,1.8653651,0.56151,1,0.7498,1
148,156,44150,44760,0.149979,0.0,0,0.0,0
148,158,44150,44790,0.4030683,0.0,0,0.0,0
148,160,44150,44810,0.22496848,0.0,0,0.0,0
149,156,44180,44760,1.1342171,0.32267,0,0.0,0
149,157,44180,44770,0.7967645,0.09969,0,0.0,0
149,158,44180,44790,0.8811279,0.17008,0,0.0,0
149,159,44180,44800,1.3779335,0.42565,0,0.0003999999999999,0
150,154,44200,44270,0.6374116,0.0,0,0.0,0
150,160,44200,44810,0.27183712,0.0,0,0.0,0
151,154,44210,44270,0.3280797,0.0,0,0.0,0
151,159,44210,44800,0.8998748,0.18422,0,0.0,0
151,160,44210,44810,0.581169,0.0,0,0.0,0
151,161,44210,44825,0.0,0.0,0,0.0,0
152,153,44230,44250,3.187056,0.72687,1,0.9861,1
152,155,44230,44710,1.0873485,0.29902,0,0.0,0
152,156,44230,44760,1.1717118,0.34074,0,0.0,0
152,165,44230,45140,1.1998327,0.35368,0,0.0,0
152,169,44230,45710,1.2185805,0.36279,0,0.0,0
154,160,44270,44810,0.9092487,0.19078,0,0.0,0
155,169,44710,45710,0.13123205,0.0,0,0.0,0
155,170,44710,45720,0.6936532,0.0,0,0.0,0
155,171,44710,45730,1.152965,0.33191,0,0.0,0
156,157,44760,44770,0.3374527,0.0,0,0.0,0
156,158,44760,44790,0.2530893,0.0,0,0.0,0
156,165,44760,45140,0.028120838,0.0,0,0.0,0
158,159,44790,44800,0.49680558,0.0,0,0.0,0
158,160,44790,44810,0.17809981,0.0,0,0.0,0
159,160,44800,44810,0.31870577,0.0,0,0.0,0
162,163,45111,45113,0.0,0.0,0,0.0,0
