"draw","beta_0","alpha","tau2"
383,0.0177068351589649,0.394064713164853,0.0115310014322059
384,0.0265577132596639,0.357440418180608,0.0121267460403848
385,0.0242057138905364,0.282666692723514,0.0202798895799463
386,0.0262571399931102,0.260435034562774,0.0173131054372951
387,0.0161425274262959,0.272730436163303,0.0203804112929686
388,0.0202583661736414,0.295624704896431,0.0242718158280776
389,0.017374273102145,0.28084036167091,0.0183745222361486
390,0.0177045820682817,0.299545802997038,0.0223701984823039
391,0.0219110076149215,0.284610575560342,0.0176935769973953
392,0.0201069887596527,0.225491028959994,0.0175858558136898
393,0.0227939946221707,0.318525677365602,0.0159435578979935
394,0.0190328443587903,0.215111020312052,0.0248236284047688
395,0.0217552961766888,0.22534548066685,0.0155211078945971
396,0.0184668218446117,0.304176647837599,0.012835567588341
397,0.0334321740513235,0.378295614060606,0.0147903705138296
398,0.0219322736279817,0.374119012174328,0.0116271069409363
399,0.021210835132832,0.391500401570714,0.0186551921203731
400,0.0198605080609692,0.396485485941475,0.013816618279692
401,0.017928014082392,0.374272271307192,0.0147334032275295
402,0.0170627331567121,0.395131926461326,0.0141378128393656
403,0.0173867704404455,0.41139460731495,0.013787123939248
404,0.0143980547397045,0.381878035875413,0.0115839798439351
405,0.0150865226456801,0.446555006636109,0.0111890404930754
406,0.0173333859558753,0.462561130412358,0.0135519213042982
407,0.0232069674990979,0.441799090122802,0.0115624419346866
408,0.0114488207618226,0.391114847538324,0.0163313560999519
409,0.0244248754649137,0.393122935628742,0.0166242955308507
410,0.0149228210388104,0.396501947576034,0.0153527833386314
411,0.0212789005707117,0.437212433099298,0.0160095386784713
412,0.0196873065057797,0.441291412947071,0.0130176370048381
413,0.021458802707541,0.390660038266456,0.0136919484257503
414,0.0198504481005202,0.399361955051791,0.0125511077231387
415,0.02232948930855,0.385696569769268,0.0157033117736346
416,0.0158526801624902,0.383583378951188,0.0156492422629573
417,0.0170615239768412,0.370687203637354,0.0131911077515054
418,0.0183160347426758,0.407531691770758,0.0162568589291931
419,0.02050863434443,0.389715412446429,0.0160245140423235
420,0.0204541242484494,0.359914995421244,0.0161573076674271
421,0.019156721647625,0.411896435591153,0.0128035561093012
422,0.0226033245344026,0.39515288861003,0.0137248712992769
423,0.0159818597971734,0.450669865197119,0.00765884237849716
424,0.0167191882315908,0.4933240524453,0.00864740886318334
425,0.0240508525417899,0.392867144271496,0.0153593910121337
426,0.0190840051744878,0.398187272358734,0.0161213816730797
427,0.0210254381294658,0.355940824962053,0.0135953728261479
428,0.0226422917824337,0.448743384630247,0.0119484230344895
429,0.0182609333639533,0.428332240685452,0.0130856001533417
430,0.0178258184632037,0.38373925887207,0.0139494240130876
431,0.0163465370407261,0.396288774955704,0.0173267530673381
432,0.01120085340459,0.398814934016925,0.0127729085501099
433,0.0198144965067593,0.379156644027049,0.0133377517103931
434,0.0134425638597596,0.388371633433039,0.01101383159409
435,0.0171224491716584,0.391203854402246,0.0114406393182485
436,0.0149643010018458,0.387379334444579,0.0115466318269165
437,0.0218965198111338,0.393714099565912,0.0114222641534988
438,0.0136795223289659,0.376954321009147,0.0137846758981944
439,0.0214328734627441,0.386271888196633,0.0176974541795227
440,0.0229333400363331,0.39264293732108,0.0220790045398348
441,0.0222926246687465,0.404116202481423,0.0133383088641304
442,0.0173187117494211,0.379556476655462,0.0144247046216579
443,0.0171985319341071,0.382540163569514,0.0169741716045711
444,0.0173469039223141,0.376829115955216,0.0129895271358396
445,0.0150655486760019,0.426610630214995,0.0146905398531313
446,0.0174638650059409,0.381133924087409,0.0173223627109018
447,0.0208918132168139,0.399296284344707,0.015633258315524
448,0.0181278993670899,0.42229673081473,0.0127656515727911
449,0.0170487120697692,0.345802502740123,0.0183316477189147
450,0.0123482528124751,0.39474205016802,0.0139936352098832
451,0.023675588698779,0.435639159748648,0.0137809597287329
452,0.0204520094121377,0.447470738484076,0.0155023856584335
453,0.0188157512168359,0.392547576176512,0.0161754998574107
454,0.022846458194862,0.407173753305167,0.0118815705225208
455,0.0180232014663244,0.378026836226821,0.0187316801014254
456,0.0307221800725264,0.346700817167036,0.0183844167817089
457,0.0140289718502964,0.293830800207738,0.0178463576969338
458,0.0239266401156011,0.28108067611201,0.0202824205720282
459,0.0127411067470119,0.277333799565549,0.0167381241333281
460,0.0204963215101316,0.273686412693392,0.0171830159757425
461,0.0157493149520895,0.303753142301862,0.0236197798506149
462,0.0211057443722451,0.298290834835554,0.0211135226550235
463,0.017682861249004,0.226709844745276,0.0255946498342015
464,0.0111091066428537,0.291124927478683,0.0207128149552488
465,0.0208550238117634,0.222747110325459,0.0197685924017124
466,0.0250276166358304,0.299916943593486,0.0179659375511904
467,0.0281708974799164,0.285741311074122,0.0155369662944982
468,0.0268322849930873,0.289511392063162,0.0212825742119955
469,0.0160246574150097,0.285228561704616,0.0193156101831967
470,0.0136573123404472,0.305418803913666,0.0179580911497872
471,0.0188565514992763,0.218145166190432,0.017899159897551
472,0.021325628827376,0.277848237881676,0.0254732901178033
473,0.0309880482557803,0.331437889531041,0.0183752617017277
474,0.0228387444880232,0.283030105031497,0.0247117038322601
475,0.027628510042055,0.294879568069427,0.0201182093552546
476,0.0189784687421381,0.225037175899556,0.0219680121486364
477,0.0197326689427877,0.230562670388838,0.0223150854393331
478,0.0251738689159845,0.333053888395833,0.0172265739169459
479,0.0250193796468147,0.232280052020927,0.0158521844396431
480,0.0211856262020534,0.222852697127471,0.0179023929230431
481,0.0191344734529574,0.220399738234712,0.0185692193031407
482,0.0153355679443752,0.213518941184261,0.0183189059454133
483,0.0197459298418464,0.245023676861434,0.0214534458159872
484,0.025342979120704,0.216262480749591,0.0198473032076284
485,0.0151104946063434,0.223047275574859,0.019093758250071
486,0.0162456856891849,0.348515540354539,0.0151445324487019
487,0.0136085160019468,0.373237960501389,0.0143127243585448
488,0.0169067960762361,0.437402835026624,0.0134036409591683
489,0.0227039128199666,0.385886413814044,0.0120746325773613
490,0.0176377566477545,0.381763763114447,0.0163210951899596
491,0.00984561407242897,0.3707556894357,0.0149030885438133
492,0.0201735621860296,0.374253792578427,0.0167842668875085
493,0.0237179303458757,0.277512060470512,0.0194481370203803
494,0.0235263894845532,0.269455098991079,0.0197977847782323
495,0.0232019527218814,0.286778979716912,0.0231070326646425
496,0.0171435584012985,0.286514059407162,0.0191366929775833
497,0.0155325547648519,0.256837165273405,0.0254111788001627
498,0.0246489534589632,0.375382189250831,0.0133270179559005
499,0.0180103567368699,0.345949733103749,0.0246786832144265
500,0.0156090106991342,0.268145531130128,0.0179949353080554
